publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	DOI	ISSNs	eISSNs	ISBNs	eISBNs	undefined	coverage_notes
Health Psychology Review	1743-7199	1743-7202	2007-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rhpr20		rhpr20		fulltext			serial										1743-7199	1743-7202				
History of Retailing and Consumption	2373-518X	2373-5171	2015-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rhrc20		rhrc20		fulltext	New for 2015		serial										2373-518X	2373-5171				
Human Resource Development International	1367-8868	1469-8374	1998-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rhrd20		rhrd20		fulltext			serial										1367-8868	1469-8374				
Health Sociology Review	1446-1242		2001-01-01	10	2				http://www.tandfonline.com/openurl?genre=journal&stitle=RHSR		RHSR		fulltext	transfer in (2015): Econtent Management.previously: Annual Review of Health Social Science (1991 - 2000) 		serial										1446-1242					
Annual Review of Health Social Science	1036-6733		1991-01-01	1	1	2000-12-31	10	1	http://www.tandfonline.com/openurl?genre=journal&stitle=rhsr19		rhsr19		fulltext	now: Health Sociology Review		serial										1036-6733					
Inter-Asia Cultural Studies	1464-9373	1469-8447	2000-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=riac20		riac20		fulltext			serial										1464-9373	1469-8447				
Innovation and Development	2157-930X	2157-9318	2011-01-04	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=riad20		riad20		fulltext			serial										2157-930X	2157-9318				
Investment Analysts Journal	1029-3523	2077-0227	1972-01-01	1	1				http://www.tandfonline.com/loi/riaj20		riaj20		fulltext	transfer in (2015):Analysts Society of South Africa		serial										1029-3523	2077-0227				
Journal of Medieval Iberian Studies	1754-6559	1754-6567	2009-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ribs20		ribs20		fulltext			serial										1754-6559	1754-6567				
International Studies in Catholic Education	1942-2539	1942-2547	2009-01-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rice20		rice20		fulltext			serial										1942-2539	1942-2547				
Journal of International Communication	1321-6597		1994-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rico20		rico20		fulltext			serial										1321-6597					
Information, Communication & Society	1369-118X	1468-4462	1998-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rics20		rics20		fulltext			serial										1369-118X	1468-4462				
International Critical Thought	2159-8282	2159-8312	2011-01-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rict20		rict20		fulltext			serial										2159-8282	2159-8312				
International Economic Journal	1016-8737	1743-517X	1987-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=riej20		riej20		fulltext			serial										1016-8737	1743-517X				
Irish Educational Studies	0332-3315	1747-4965	1981-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ries20		ries20		fulltext			serial										0332-3315	1747-4965				
Israel Journal of Foreign Affairs	2373-9770	2373-9789	2006-01-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=RIFA		RIFA		fulltext	transfer in (2015): Self Published		serial										2373-9770	2373-9789				
International Gambling Studies	1445-9795	1479-4276	2001-01-09	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rigs20		rigs20		fulltext			serial										1445-9795	1479-4276				
Geographical Society of Ireland. Bulletin	0790-6978		1944-01-01	1	1	1953-12-31	2	5	http://www.tandfonline.com/openurl?genre=journal&stitle=rigy19		rigy19		fulltext	now: Irish Geography		serial										0790-6978					
