publication_title	online_identifier	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Hastings - The SAGE Handbook of Social Marketing	9781446201008	http://knowledge.sagepub.com/view/hdbk_socialmarketing/SAGE.xml		hdbk_socialmarketing				SAGE Publications Ltd	Monograph	15/11/2011	7/12/2011			Hastings			F
Scott - The SAGE Handbook of Social Network Analysis	9781446294413	http://knowledge.sagepub.com/view/the-sage-handbook-of-social-network-analysis/SAGE.xml		the-sage-handbook-of-social-network-analysis				SAGE Publications Ltd	Monograph	18/05/2011	13/10/2014			Scott			F
Hogg - The SAGE Handbook of Social Psychology	9781848608221	http://knowledge.sagepub.com/view/hdbk_socpsych/SAGE.xml		hdbk_socpsych				SAGE Publications Ltd	Monograph	18/08/2003	22/06/2009			Hogg			F
Alasuutari - The SAGE Handbook of Social Research Methods	9781848608429	http://knowledge.sagepub.com/view/the-sage-handbook-of-social-research-methods/SAGE.xml		the-sage-handbook-of-social-research-methods				SAGE Publications Ltd	Monograph	25/02/2008	31/01/2014			Alasuutari			F
Outhwaite - The SAGE Handbook of Social Science Methodology	9781848607958	http://knowledge.sagepub.com/view/the-sage-handbook-of-social-science-methodology/SAGE.xml		the-sage-handbook-of-social-science-methodology				SAGE Publications Ltd	Monograph	18/10/2007	30/01/2014			Outhwaite			F
Gray - The SAGE Handbook of Social Work	9781446247648	http://knowledge.sagepub.com/view/hdbk_socialwork/SAGE.xml		hdbk_socialwork				SAGE Publications Ltd	Monograph	30/04/2012	19/06/2012			Gray			F
Shaw - The SAGE Handbook of Social Work Research	9780857021106	http://knowledge.sagepub.com/view/hdbk_socialworkrsch/SAGE.xml		hdbk_socialworkrsch				SAGE Publications Ltd	Monograph	27/11/2009	10/02/2009			Shaw			F
Wodak - The SAGE Handbook of Sociolinguistics	9781446200957	http://knowledge.sagepub.com/view/hdbk_sociolinguistics/SAGE.xml		hdbk_sociolinguistics				SAGE Publications Ltd	Monograph	23/09/2010	31/03/2011			Wodak			F
Calhoun - The SAGE Handbook of Sociology	9781848608115	http://knowledge.sagepub.com/view/hdbk_sociology/SAGE.xml		hdbk_sociology				SAGE Publications Ltd	Monograph	18/06/2005	22/06/2009			Calhoun			F
Fotheringham - The SAGE Handbook of Spatial Analysis	9780857020130	http://knowledge.sagepub.com/view/hdbk_spatialanalysis/SAGE.xml		hdbk_spatialanalysis				SAGE Publications Ltd	Monograph	22/12/2008	14/03/2009			Fotheringham			F
Florian - The SAGE Handbook of Special Education	9781848607989	http://knowledge.sagepub.com/view/hdbk_specialedu/SAGE.xml		hdbk_specialedu				SAGE Publications Ltd	Monograph	16/11/2006	22/06/2009			Florian			F
