publication_type	publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name
book	Pediatric Emergency Medicine Secrets	9780323930338		2025						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20170006547	Dudley	3-s2.0-C20170006547		fulltext		Elsevier
book	Pediatric Hematology & Oncology Secrets	9780323810470		2024						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20150020925	Rosenzweig	3-s2.0-C20150020925		fulltext		Elsevier
book	Pediatric Secrets	9780323636650		2021						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20170006481	Teplow-Phipps	3-s2.0-C20170006481		fulltext		Elsevier
book	Pediatrics Morning Report: Beyond the Pearls	9780323498258		2019						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20160008689	Samko	3-s2.0-C20160008689		fulltext		Elsevier
book	Pharmacology Flash Cards	9780323355643		2018						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20140021399	Brenner	3-s2.0-C20140021399		fulltext		Elsevier
book	Physical Diagnosis Secrets	9780323263368		2021						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20140000330	Mangione	3-s2.0-C20140000330		fulltext		Elsevier
book	Physical Medicine and Rehabilitation Secrets	9780323681841		2024						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20180013420	Rodriguez	3-s2.0-C20180013420		fulltext		Elsevier
book	Pocket Companion to Guyton and Hall Textbook of Medical Physiology	9780323640077		2021						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20170005050	Hall	3-s2.0-C20170005050		fulltext		Elsevier
book	Pocket Companion to Robbins & Cotran Pathologic Basis of Disease	9780323653909		2024						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20170041873	Mitchell	3-s2.0-C20170041873		fulltext		Elsevier
book	Prehospital Emergency Medicine Secrets	9780323722667		2022						https://www.clinicalkey.com/student/content/toc/3-s2.0-C20190003068	T. Krack	3-s2.0-C20190003068		fulltext		Elsevier
book	Principles of Medical Biochemistry	9780323296168		2017						https://www.clinicalkey.com/student/content/toc/3-s2.0-C2013019085X	Meisenberg	3-s2.0-C2013019085X		fulltext		Elsevier
